id,name,link,publisher,supplier,metadata
AMP,EOL Amphibia Patch,http://opendata.eol.org/dataset/amphibia_species,,,
APH,Aphid Species File,http://aphid.speciesfile.org/,,,
BLA,Cockroach Species File,http://cockroach.speciesfile.org/,,,
COL,Coleorrhyncha Species File,http://coleorrhyncha.speciesfile.org/,,,
COR,Coreoidea Species File,http://coreoidea.speciesfile.org/,,,
DER,Dermaptera Species File,http://dermaptera.speciesfile.org/,,,
EET,EOL Earthworms Patch,http://opendata.eol.org/dataset/earthworms,,,
EMB,Embioptera Species File,http://embioptera.speciesfile.org/,,,
GRY,Grylloblattodea Species File,http://grylloblattodea.speciesfile.org/,,,
ictv,International Committee on Taxonomy of Viruses (ICTV),https://talk.ictvonline.org/taxonomy/,,,
IOC,IOC World Bird List,http://www.worldbirdnames.org/,,,
lhw,Söderström et al. (2016) World checklist of hornworts and liverworts. PhytoKeys 59: 1-821. doi:10.3897/phytokeys.59.6261,http://doi.org/10.3897/phytokeys.59.6261,,,
LYG,Lygaeoidea Species File,http://lygaeoidea.speciesfile.org/,,,
MAN,Mantophasmatodea Species File,http://mantophasmatodea.speciesfile.org/,,,
MNT,Mantodea Species File,http://mantodea.speciesfile.org/,,,
ODO,World Odonata List,https://www.pugetsound.edu/academics/academic-resources/slater-museum/biodiversity-resources/dragonflies/world-odonata-list2/,,,
ONY,"Oliveira I, Read V, Mayer G (2012) A world checklist of Onychophora (velvet worms), with notes on nomenclature and status of names. ZooKeys 211: 1-70. doi:10.3897/zookeys.211.3463",http://doi.org/10.3897/zookeys.211.3463,,,
ORTH,Orthoptera Species File,http://orthoptera.speciesfile.org/,,,
PHA,Phasmida Species File,http://phasmida.speciesfile.org/,,,
PLE,Plecoptera Species File,http://plecoptera.speciesfile.org/,,,
PPG,The Pteridophyte Phylogeny Group. 2016. A community-derived classification for extant lycophytes and ferns. Journal of Systematics and Evolution 54(6):563-603. doi: 10.1111/jse.12229,http://doi.org/10.1111/jse.12229,,,
PSO,Psocodea Species File,http://psocodea.speciesfile.org/,,,
SPI,EOL Spiders Patch,http://opendata.eol.org/dataset/spider-species,,,
TER,"Krishna, K., Grimaldi, D. A., Krishna, V., Engel, M. S. 2013. Treatise on the Isoptera of the world. Bulletin of the American Museum of Natural History 377. 7 Volumes. http://hdl.handle.net/2246/6430",http://hdl.handle.net/2246/6430,,,
TPL,The Plant List with literature,https://www.gbif.org/dataset/d9a4eedb-e985-4456-ad46-3df8472e00e8,Roderic D. M. Page ,Global Biodiversity Information Facility (GBIF),http://api.gbif.org/v1/dataset/d9a4eedb-e985-4456-ad46-3df8472e00e8
trunk,EOL Dynamic Hierarchy Trunk,http://opendata.eol.org/dataset/eol-dynamic-hierarchy-trunk,,,
WOR,World Register of Marine Species,http://www.marinespecies.org/,,,
ZOR,Zoraptera Species File,http://zoraptera.speciesfile.org/,,,
