eol_pk,page_id,scientific_name,resource_pk,predicate,sex,lifestage,statistical_method,object_page_id,target_scientific_name,value_uri,literal,measurement,units,normal_measurement,normal_units_uri,sample_size,citation,source,remarks,method,contributor_uri,compiler_uri,determined_by_uri
R50-PK288547,51273975,<i>Calanus glacialis</i>,1,http://eol.org/schema/terms/ProsomeLength,,http://www.ebi.ac.uk/efo/EFO_0001272,http://www.ebi.ac.uk/efo/EFO_0001444,,,,,4.026,http://purl.obolibrary.org/obo/UO_0000016,4.026,http://purl.obolibrary.org/obo/UO_0000016,,,https://opendata.eol.org/dataset/arczoo-ld,,Direct measurement from specimen photo,https://doi.org/10.1007/s12526-010-0080-x,,https://orcid.org/0000-0002-9943-2342
R50-PK288548,51273974,<i>Augaptilus glacialis</i>,10,http://eol.org/schema/terms/ProsomeLength,,http://www.ebi.ac.uk/efo/EFO_0001272,http://www.ebi.ac.uk/efo/EFO_0001444,,,,,3.219,http://purl.obolibrary.org/obo/UO_0000016,3.219,http://purl.obolibrary.org/obo/UO_0000016,,,https://opendata.eol.org/dataset/arczoo-ld,,Direct measurement from specimen photo,https://doi.org/10.1007/s12526-010-0080-x,,https://orcid.org/0000-0002-9943-2342
R50-PK288549,51274017,<i>Paraeuchaeta pavlovskii</i>,100,http://eol.org/schema/terms/ProsomeLength,http://purl.obolibrary.org/obo/PATO_0000383,http://www.ebi.ac.uk/efo/EFO_0001272,http://www.ebi.ac.uk/efo/EFO_0001444,,,,,7.683,http://purl.obolibrary.org/obo/UO_0000016,7.683,http://purl.obolibrary.org/obo/UO_0000016,,,http://www.marinespecies.org/aphia.php?p=image&pic=38273,,Direct measurement from specimen photo,https://profils-profiles.science.gc.ca/en/profile/moira-galbraith,,https://orcid.org/0000-0002-9943-2342
R50-PK288550,51274018,<i>Paraeuchaeta rubra</i>,101,http://eol.org/schema/terms/ProsomeLength,http://purl.obolibrary.org/obo/PATO_0000383,http://www.ebi.ac.uk/efo/EFO_0001272,http://www.ebi.ac.uk/efo/EFO_0001444,,,,,4.854,http://purl.obolibrary.org/obo/UO_0000016,4.854,http://purl.obolibrary.org/obo/UO_0000016,,,http://www.marinespecies.org/aphia.php?p=image&pic=38274,,Direct measurement from specimen photo,https://profils-profiles.science.gc.ca/en/profile/moira-galbraith,,https://orcid.org/0000-0002-9943-2342
R50-PK288551,51274019,<i>Pareucalanus parki</i>,102,http://eol.org/schema/terms/ProsomeLength,http://purl.obolibrary.org/obo/PATO_0000383,http://www.ebi.ac.uk/efo/EFO_0001272,http://www.ebi.ac.uk/efo/EFO_0001444,,,,,5.652,http://purl.obolibrary.org/obo/UO_0000016,5.652,http://purl.obolibrary.org/obo/UO_0000016,,,http://www.marinespecies.org/aphia.php?p=image&pic=38278,,Direct measurement from specimen photo,https://profils-profiles.science.gc.ca/en/profile/moira-galbraith,,https://orcid.org/0000-0002-9943-2342
R50-PK288552,51274019,<i>Pareucalanus parki</i>,103,http://eol.org/schema/terms/ProsomeLength,,http://www.ebi.ac.uk/efo/EFO_0001272,http://www.ebi.ac.uk/efo/EFO_0001444,,,,,5.658,http://purl.obolibrary.org/obo/UO_0000016,5.658,http://purl.obolibrary.org/obo/UO_0000016,,,http://www.marinespecies.org/aphia.php?p=image&pic=38279,,Direct measurement from specimen photo,https://profils-profiles.science.gc.ca/en/profile/moira-galbraith,,https://orcid.org/0000-0002-9943-2342
R50-PK288553,51274020,<i>Pleuromamma scutullata</i>,104,http://eol.org/schema/terms/ProsomeLength,http://purl.obolibrary.org/obo/PATO_0000383,http://www.ebi.ac.uk/efo/EFO_0001272,http://www.ebi.ac.uk/efo/EFO_0001444,,,,,2.675,http://purl.obolibrary.org/obo/UO_0000016,2.675,http://purl.obolibrary.org/obo/UO_0000016,,,http://www.marinespecies.org/aphia.php?p=image&pic=38296,,Direct measurement from specimen photo,https://profils-profiles.science.gc.ca/en/profile/moira-galbraith,,https://orcid.org/0000-0002-9943-2342
R50-PK288554,51274021,<i>Pleuromamma xiphias</i>,105,http://eol.org/schema/terms/ProsomeLength,http://purl.obolibrary.org/obo/PATO_0000383,http://www.ebi.ac.uk/efo/EFO_0001272,http://www.ebi.ac.uk/efo/EFO_0001444,,,,,3.248,http://purl.obolibrary.org/obo/UO_0000016,3.248,http://purl.obolibrary.org/obo/UO_0000016,,,http://www.marinespecies.org/aphia.php?p=image&pic=38297,,Direct measurement from specimen photo,https://profils-profiles.science.gc.ca/en/profile/moira-galbraith,,https://orcid.org/0000-0002-9943-2342
R50-PK288555,51274023,<i>Pseudocalanus mimus</i>,106,http://eol.org/schema/terms/ProsomeLength,http://purl.obolibrary.org/obo/PATO_0000383,http://www.ebi.ac.uk/efo/EFO_0001272,http://www.ebi.ac.uk/efo/EFO_0001444,,,,,0.942,http://purl.obolibrary.org/obo/UO_0000016,0.942,http://purl.obolibrary.org/obo/UO_0000016,,,http://www.marinespecies.org/aphia.php?p=image&pic=38314,,Direct measurement from specimen photo,https://profils-profiles.science.gc.ca/en/profile/moira-galbraith,,https://orcid.org/0000-0002-9943-2342
R50-PK288556,51274028,<i>Scottocalanus persecans</i>,107,http://eol.org/schema/terms/ProsomeLength,http://purl.obolibrary.org/obo/PATO_0000383,http://www.ebi.ac.uk/efo/EFO_0001272,http://www.ebi.ac.uk/efo/EFO_0001444,,,,,3.541,http://purl.obolibrary.org/obo/UO_0000016,3.541,http://purl.obolibrary.org/obo/UO_0000016,,,http://www.marinespecies.org/aphia.php?p=image&pic=38335,,Direct measurement from specimen photo,https://profils-profiles.science.gc.ca/en/profile/moira-galbraith,,https://orcid.org/0000-0002-9943-2342
R50-PK288572,51273995,<i>Eurytemora herdmani</i>,121,http://eol.org/schema/terms/ProsomeWidth,http://purl.obolibrary.org/obo/PATO_0000383,http://www.ebi.ac.uk/efo/EFO_0001272,http://www.ebi.ac.uk/efo/EFO_0001444,,,,,0.354,http://purl.obolibrary.org/obo/UO_0000016,0.354,http://purl.obolibrary.org/obo/UO_0000016,,,https://opendata.eol.org/dataset/arczoo-ld,,Direct measurement from specimen photo,https://doi.org/10.1007/s12526-010-0080-x,,https://orcid.org/0000-0002-9943-2342
