vernacularName	source	language	locality	countryCode	isPreferredName	taxonRemarks	taxonID
Kalingi		tam					accepted_3010
Kurangadi		tam					accepted_3010
Mallaykone		tam					accepted_3010
Mallekone		tam					accepted_3010
Nelrai.		tam					accepted_3010
Cegappuyagil		mal					accepted_3010
Karingodi		mal					accepted_3010
Kurangadi		mal					accepted_3010
Malamkonnai		mal					accepted_3010
Malaveppa		mal					accepted_3010
Narivenga		mal					accepted_3010
Nellara		mal					accepted_3010
Shegappuagili		mal					accepted_3010
Karangan.		mal					accepted_3010
Belanji		kan					accepted_3010
Hantige		kan					accepted_3010
Havulagi		kan					accepted_3010
Houlige		kan					accepted_3010
Pink Cedar							accepted_3010
Mallam Konnai		tam					accepted_3010
Houtige Mara.		kan					accepted_3010
Karangan		mal					accepted_3010
Malai kondrai							accepted_3010
Kurangadi							accepted_3010
Narivenga							accepted_3010
Vidukanalei		tam					accepted_3041
Vidukanalei		mal					accepted_3041
Mutta Nari		tam					accepted_3041
Moota Nari		mal					accepted_3041
Mutta Nari		mal					accepted_3041
Chakkimaram		mal					accepted_3041
Mavaranchi		mal					accepted_3041
Mavuringi		mal					accepted_3041
Muttanari		mal					accepted_3041
Orilatheeppettimaram		mal					accepted_3041
Verukutheeni		mal					accepted_3041
Vettukanala		mal					accepted_3041
Vidukanali		mal					accepted_3041
Muttanari							accepted_3041
Eeyoli		mal					accepted_3071
Malavirinji		mal					accepted_3071
Pisa							accepted_3071
Kambiliviriji		mal					accepted_3079
Malavirinji		mal					accepted_3079
Neyaram		mal					accepted_3079
Kambilivirinji		mal					accepted_3079
Pattutthalli		mal					accepted_3079
Pukachan		mal					accepted_3079
Kambilivirinji							accepted_3079
Malavirinji							accepted_3079
Puli-vayila		tam					accepted_3093
Puthangkolli.		tam					accepted_3093
Chuvanna-akil		mal					accepted_3107
Karakil		mal					accepted_3107
Priyangu							accepted_3112
Punyava		mal					accepted_3112
Punyava							accepted_3112
Karakil		mal					accepted_3118
Vellacheeralam		mal					accepted_3118
Telya							accepted_3118
Karakil							accepted_3118
Vellacheeralam							accepted_3118
Karakil		mal					accepted_3126
Cheru Chokla		mal					accepted_3126
Cheruchokla		mal					accepted_3126
Cheru chokla							accepted_3126
Karakil							accepted_3126
Neermulli		mal					accepted_3136
Nirmulei		mal					accepted_3136
Nirmula		mal					accepted_3136
Neermulli							accepted_3136
Mancherai		tam					accepted_3144
Manikulikki		tam					accepted_3144
Erlapanei		mal					accepted_3144
Mulimpala		mal					accepted_3144
Mancharei		tam					accepted_3151
Mattipal		tam					accepted_3158
Dhup		mal					accepted_3158
Matti		mal					accepted_3158
Mattipal		mal					accepted_3158
Mattipala		mal					accepted_3158
Perumarom		mal					accepted_3158
Pongallyam		mal					accepted_3158
Guggul Dhup		kan					accepted_3158
Maharukh		eng					accepted_3158
Perumaram		mal					accepted_3158
Pongilium		mal					accepted_3158
Matti							accepted_3158
Perumaram							accepted_3158
Pongilium							accepted_3158
Thutta		mal					accepted_3173
Karugkarumbai maram							accepted_3173
Elilaipalai		tam					accepted_3185
Palai		tam					accepted_3185
Palegaruda		tam					accepted_3185
Ezhilampala		mal					accepted_3185
Mangalappala		mal					accepted_3185
Pala		mal					accepted_3185
Yekshippala		mal					accepted_3185
Doddapala		kan					accepted_3185
Hale		kan					accepted_3185
Janthalla		kan					accepted_3185
Maddaale		kan					accepted_3185
Devil Tree							accepted_3185
Alstonia							accepted_3185
Shaitan							accepted_3185
Janthaila		kan					accepted_3185
Daivappala		mal					accepted_3185
Satvin		mar					accepted_3185
Mukumpaalai		tam					accepted_3185
Mukam Palei		tam					accepted_3185
Devil Tree		eng					accepted_3185
Dita Bark Tree		eng					accepted_3185
Shaitan Wood		eng					accepted_3185
Australian Quinine Bark Tree							accepted_3185
Bitter-bark Tree							accepted_3185
Blackboard Tree							accepted_3185
Chatiyan Wood							accepted_3185
Devil's Tree							accepted_3185
Dita Bark Tree							accepted_3185
White Cheesewood Tree							accepted_3185
चितवन Chitvan		hin					accepted_3185
शैतान का झाड़ Shaitan Ka Jhar		hin					accepted_3185
सप्तपर्ण Saptaparna		mar					accepted_3185
सप्तपर्ण Saptaparna		san					accepted_3185
ஏழிலை Paalai		tam					accepted_3185
Ezilai Paalai		tam					accepted_3185
முகும்பலை Mukumpalai		tam					accepted_3185
ఏడాకులయరటిచెట్టు Edakulayaraticettu		tel					accepted_3185
సప్తవర్ణము Saptavarnamu		tel					accepted_3185
"ছাতিম"""" --- """"chatim"""""		ben					accepted_3185
Ezhilamppala		mal					accepted_3185
Yezhilai paalai							accepted_3185
Ezhilampala							accepted_3185
Yekshippala							accepted_3185
Mara-uri		tam					accepted_3209
Aranthelli		tam					accepted_3209
Aranthal		mal					accepted_3209
Maravuri		mal					accepted_3209
Aranjelli		mal					accepted_3209
Arayannali		mal					accepted_3209
Nettavil		mal					accepted_3209
Upas tree		eng					accepted_3209
Aranjili		mal					accepted_3209
Chilapettamaram		mal					accepted_3209
Karanjili		mal					accepted_3209
Aranthelli							accepted_3209
Mara-uri							accepted_3209
Nettavil							accepted_3209
Aranthal							accepted_3209
Maravuri							accepted_3209
Jasund							accepted_3209
Thathalamaram		mal					accepted_3220
Nolaidali							accepted_3220
Thathalamaram							accepted_3220
Amati							accepted_3220
Nolaidali		tam					accepted_3223
Airyaporiyan		mal					accepted_3223
Cerutali		mal					accepted_3223
Nulittali		mal					accepted_3223
Amati							accepted_3223
Ambuti							accepted_3223
Mala							accepted_3223
Chinese laurel		eng					accepted_3223
Salamander tree		eng					accepted_3223
Aryaporiyan		mal					accepted_3223
Cherutali		mal					accepted_3223
Mayilkombi		mal					accepted_3223
Neelathali		mal					accepted_3223
Noolithali		mal					accepted_3223
Nolaiali							accepted_3223
Ariyaporiyan							accepted_3223
Mayilkombi							accepted_3223
Mountain Currant Tree							accepted_3230
Putharaval		mal					accepted_3230
Thathalamaram		mal					accepted_3230
Putharaval							accepted_3230
Pithraj Tree							accepted_3236
हरिनहर्रा Harin-hara		hin					accepted_3236
Harinkhana		hin					accepted_3236
হৈৰাঙখোঈ Heirangkhoi		mni					accepted_3236
Raktharohida 'रक्‍तरोहिडा'		mar					accepted_3236
Malampuluvan		tam					accepted_3236
Sem		tam					accepted_3236
Semmaram		tam					accepted_3236
Chemmaram		mal					accepted_3236
Sem		mal					accepted_3236
Chevamanu		tel					accepted_3236
Rohitaka		tel					accepted_3236
Mukhyamuttage		kan					accepted_3236
Mullumuttaga		kan					accepted_3236
Mulluhitthalu		kan					accepted_3236
Roheethaka		kan					accepted_3236
Tiktaraj		ben					accepted_3236
Sahala							accepted_3236
