taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	taxonRank	source	taxonomicStatus	canonicalName	scientificNameAuthorship	scientificNameID	taxonRemarks	namePublishedIn	furtherInformationURL	datasetID	EOLid	EOLidAnnotations
-1056612	-1056612	-696990	Pteria lotorium Lamarck, 1819	species	gbif:4592270	accepted	Pteria lotorium	Lamarck, 1819				https://www.gbif-uat.org/species/4592270	0938172b-2086-439c-a1dd-c21cb0109ed5		
-1103072	-1103072	-733718	Thelotornis kirtlandii subsp. oatesi	subspecies	gbif:9149580	accepted	Thelotornis kirtlandii oatesi					https://www.gbif-uat.org/species/9149580	6cfd67d6-4f9b-400b-8549-1933ac27936f		
-1103073	-1103073	-733718	Thelotornis kirtlandii subsp. kirtlandii	subspecies	gbif:8957661	accepted	Thelotornis kirtlandii kirtlandii					https://www.gbif-uat.org/species/8957661	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c		
-1186105	-1186105	-1014545	Murex lotorium Linnaeus, 1758	species	gbif:7446393	accepted	Murex lotorium	Linnaeus, 1758				https://www.gbif-uat.org/species/7446393	80b4b440-eaca-4860-aadf-d0dfdd3e856e		
-1448259	-1448259	-1274362	Hylotorus hottentotta Westwood, 1874	species	gbif:8330135	accepted	Hylotorus hottentotta	Westwood, 1874				https://www.gbif-uat.org/species/8330135	7ddf754f-d193-4cc9-b351-99906754a03b		
-1448260	-1448260	-1274362	Hylotorus bucephalus (Gyllenhal, 1817)	species	gbif:8006384	accepted	Hylotorus bucephalus	(Gyllenhal, 1817)				https://www.gbif-uat.org/species/8006384	7ddf754f-d193-4cc9-b351-99906754a03b		
-1448261	-1448261	-1274362	Hylotorus caroli Reichensperger, 1913	species	gbif:7810757	accepted	Hylotorus caroli	Reichensperger, 1913				https://www.gbif-uat.org/species/7810757	7ddf754f-d193-4cc9-b351-99906754a03b		
-1448262	-1448262	-1274362	Hylotorus basilewskyi Luna de Carvalho, 1974	species	gbif:7687944	accepted	Hylotorus basilewskyi	Luna de Carvalho, 1974				https://www.gbif-uat.org/species/7687944	7ddf754f-d193-4cc9-b351-99906754a03b		
-1448263	-1448263	-1274362	Hylotorus blanchardi Raffray, 1882	species	gbif:7501367	accepted	Hylotorus blanchardi	Raffray, 1882				https://www.gbif-uat.org/species/7501367	7ddf754f-d193-4cc9-b351-99906754a03b		
-1448264	-1448264	-1274362	Hylotorus uelensis Reichensperger, 1925	species	gbif:8002792	accepted	Hylotorus uelensis	Reichensperger, 1925				https://www.gbif-uat.org/species/8002792	7ddf754f-d193-4cc9-b351-99906754a03b		
-14648	-14648	-1810	Procyon lotor polyomavirus 1	species	ictv:ICTV:20163680	accepted						https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20163680	ictv		
-1534832	-1534832	-1288530	Pricebeeria Eichler & Zlotorzycka, 1971	genus	PSO:1230667	accepted		Eichler & Zlotorzycka, 1971	urn:lsid:Psocodea.speciesfile.org:TaxonName:492389		Eichler & Zlotorzycka. 1971. Studien uber Raubvogelfederlinge. VII. Die Neocolpocephalum-Gruppe und ihre Wirt-Parasit-Beziehungen. Angew. Parasitol. 12:19-33	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1230667	PSO		
-1534838	-1534838	-1288530	Vulturigogus Eichler & Zlotorzycka, 1963	genus	PSO:1230697	accepted		Eichler & Zlotorzycka, 1963	urn:lsid:Psocodea.speciesfile.org:TaxonName:492420		Eichler & Zlotorzycka. 1963. Studien uber Raubvogelfederlinge. IV. Bemerkenswerte Colpocephalidae von Geiern (Vulturidae und Aegypiidae). Acta Parasitol. 11:199-221	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1230697	PSO		
-1534865	-1534865	-1288530	Neomyrsidella Zlotorzycka, 1964	genus	PSO:1230647	accepted		Zlotorzycka, 1964	urn:lsid:Psocodea.speciesfile.org:TaxonName:492369		Zlotorzycka. 1964. Mallophaga parasitizing Passeriformes and Pici. I. Subfamilies Dennyinae, Machaerilaeminae, Colpocephalinae. Acta Parasitol. 12:165-192	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1230647	PSO		
-1534870	-1534870	-1288530	Vulgidea Zlotorzycka, 1964	genus	PSO:1230695	accepted		Zlotorzycka, 1964	urn:lsid:Psocodea.speciesfile.org:TaxonName:492418		Zlotorzycka. 1964. Mallophaga parasitizing Passeriformes and Pici. I. Subfamilies Dennyinae, Machaerilaeminae, Colpocephalinae. Acta Parasitol. 12:165-192	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1230695	PSO		
-1534906	-1534906	-1288530	Wolfdietrichia Zlotorzycka, 1973	genus	PSO:1230698	accepted		Zlotorzycka, 1973	urn:lsid:Psocodea.speciesfile.org:TaxonName:492421		Zlotorzycka. 1973. Systematische Stellung und Wirt-parasit-beziehungen beim Myrsideen-komplex der mitteleuropaischen Corviden. Lounais-Hämeen Luonto 46:46-62	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1230698	PSO		
-1690279	-1690279	-1457272	Helotorus europeator Aubert, 1978	species	gbif:7806242	accepted	Helotorus europeator	Aubert, 1978				https://www.gbif-uat.org/species/7806242	de8934f4-a136-481c-a87a-b0b202b80a31		
-1808547	-1808547	-1534675	Oxylipeurus minor (Zlotorzycka, 1966)	species	PSO:1227710	accepted		(Zlotorzycka, 1966)	urn:lsid:Psocodea.speciesfile.org:TaxonName:478066		Zlotorzycka. 1966. Systematische Bemerkungen uber die Gattung Reticulipeurus Keler mit Beschreibung von R. tetraonis minor ssp. n. (Mallophaga, Lipeuridae). Arten. Polskie Pismo Entomol. 36:111-115	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1227710	PSO		
-1808687	-1808687	-1534683	Penenirmus rarus (Zlotorzycka, 1976)	species	PSO:1228009	accepted		(Zlotorzycka, 1976)	urn:lsid:Psocodea.speciesfile.org:TaxonName:478441		Zlotorzycka. 1976. Europaische Arten der Mallophagen-Gattung Pleurinirmus. Angew. Parasitol. 17:208-214	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1228009	PSO		
-1808861	-1808861	-1534698	Sturnidoecus refractariolus (Zlotorzycka, 1964)	species	PSO:1229386	accepted		(Zlotorzycka, 1964)	urn:lsid:Psocodea.speciesfile.org:TaxonName:491698		Zlotorzycka. 1964. Mallophaga parasitizing Passeriformes and Pici. II. Brueeliinae. Acta Parasitol. 12:239-282	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1229386	PSO		
-1808887	-1808887	-1534701	Falcolipeurus affulgeus Zlotorzycka, 1963	species	PSO:1226660	accepted		Zlotorzycka, 1963	urn:lsid:Psocodea.speciesfile.org:TaxonName:476652		Zlotorzycka. 1963. Studien uber Raubvogelfederlinge. III. Neue Falcolipeurus-Arten. Angew. Parasitol. 4:150-163	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1226660	PSO		
-1808890	-1808890	-1534701	Falcolipeurus conflictus Zlotorzycka, 1963	species	PSO:1226669	accepted		Zlotorzycka, 1963	urn:lsid:Psocodea.speciesfile.org:TaxonName:476665		Zlotorzycka. 1963. Studien uber Raubvogelfederlinge. III. Neue Falcolipeurus-Arten. Angew. Parasitol. 4:150-163	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1226669	PSO		
-1808896	-1808896	-1534701	Falcolipeurus longiphallus Zlotorzycka, 1963	species	PSO:1226686	accepted		Zlotorzycka, 1963	urn:lsid:Psocodea.speciesfile.org:TaxonName:476685		Zlotorzycka. 1963. Studien uber Raubvogelfederlinge. III. Neue Falcolipeurus-Arten. Angew. Parasitol. 4:150-163	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1226686	PSO		
-1808904	-1808904	-1534701	Falcolipeurus jocabundus Zlotorzycka, 1963	species	PSO:1226680	accepted		Zlotorzycka, 1963	urn:lsid:Psocodea.speciesfile.org:TaxonName:476679		Zlotorzycka. 1963. Studien uber Raubvogelfederlinge. III. Neue Falcolipeurus-Arten. Angew. Parasitol. 4:150-163	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1226680	PSO		
-1809180	-1809180	-1534731	Brueelia annae (Zlotorzycka & Eichler, 1984)	species	PSO:1225483	accepted		(Zlotorzycka & Eichler, 1984)	urn:lsid:Psocodea.speciesfile.org:TaxonName:474967		Zlotorzycka & Eichler. 1984. Notulae Mallophagologiae. XIV. Prunellides annae nov. gen. et spec. von Prunella modularis. Angew. Parasitol. 25:219-221	http://psocodea.speciesfile.org/Common/basic/Taxa.aspx?TaxonNameID=1225483	PSO		
